"Name"	"Team"	"Points"	"Cost"	"Position"	"per"	"per_ord"
"270"	"Origi"	"Liverpool"	48	7	"ATK"	6.85714285714286	"Origi"
"271"	"Grabban"	"Bournemouth"	30	4.5	"ATK"	6.66666666666667	"Grabban"
"272"	"Wimmer"	"Spurs"	33	5	"DEF"	6.6	"Wimmer"
"273"	"Kelly"	"Crystal Palace"	29	4.5	"DEF"	6.44444444444444	"Kelly"
"274"	"Welbeck"	"Arsenal"	48	7.5	"ATK"	6.4	"Welbeck"
"275"	"Jones"	"Man Utd"	31	5	"DEF"	6.2	"Jones"
"276"	"Chester"	"West Brom"	27	4.5	"DEF"	6	"Chester"
"277"	"Carroll"	"Spurs"	27	4.5	"MID"	6	"Carroll"
"278"	"Cazorla"	"Arsenal"	44	7.5	"MID"	5.86666666666667	"Cazorla"
"279"	"Lambert"	"West Brom"	31	5.5	"ATK"	5.63636363636364	"Lambert"
"280"	"Jenkinson"	"Arsenal"	28	5	"DEF"	5.6	"Jenkinson"
"281"	"Holebas"	"Watford"	25	4.5	"DEF"	5.55555555555556	"Holebas"
"282"	"Mutch"	"Crystal Palace"	25	4.5	"MID"	5.55555555555556	"Mutch"
"283"	"Guédioura"	"Watford"	25	4.5	"MID"	5.55555555555556	"Guédioura"
"284"	"Nasri"	"Man City"	36	6.5	"MID"	5.53846153846154	"Nasri"
"285"	"Sheyi Ojo"	"Liverpool"	27	5	"MID"	5.4	"Sheyi Ojo"
"286"	"Gibbs"	"Arsenal"	26	5	"DEF"	5.2	"Gibbs"
"287"	"Trippier"	"Spurs"	26	5	"DEF"	5.2	"Trippier"
"288"	"Chambers"	"Arsenal"	23	4.5	"DEF"	5.11111111111111	"Chambers"
"289"	"Muniesa"	"Stoke"	23	4.5	"DEF"	5.11111111111111	"Muniesa"
"290"	"O'Kane"	"Bournemouth"	23	4.5	"MID"	5.11111111111111	"O'Kane"
"291"	"Traore"	"Chelsea"	28	5.5	"MID"	5.09090909090909	"Traore"
"292"	"Elneny"	"Arsenal"	25	5	"MID"	5	"Elneny"
"293"	"Shaw"	"Man Utd"	27	5.5	"DEF"	4.90909090909091	"Shaw"
"294"	"de Laet"	"Leicester"	22	4.5	"DEF"	4.88888888888889	"de Laet"
"295"	"Fosu-Mensah"	"Man Utd"	22	4.5	"DEF"	4.88888888888889	"Fosu-Mensah"
"296"	"Lee Chung-yong"	"Crystal Palace"	22	4.5	"MID"	4.88888888888889	"Lee Chung-yong"
"297"	"Fer"	"Swansea"	24	5	"MID"	4.8	"Fer"
"298"	"Flanagan"	"Burnley"	21	4.5	"DEF"	4.66666666666667	"Flanagan"
"299"	"Gomez"	"Liverpool"	23	5	"DEF"	4.6	"Gomez"
"300"	"Van Ginkel"	"Chelsea"	23	5	"MID"	4.6	"Van Ginkel"
"301"	"Loftus-Cheek"	"Chelsea"	25	5.5	"MID"	4.54545454545455	"Loftus-Cheek"
"302"	"McCarthy"	"Southampton"	20	4.5	"GK"	4.44444444444444	"McCarthy"
"303"	"Bardsley"	"Stoke"	20	4.5	"DEF"	4.44444444444444	"Bardsley"
"304"	"Larsson"	"Sunderland"	22	5	"MID"	4.4	"Larsson"
"305"	"Amat"	"Swansea"	17	4	"DEF"	4.25	"Amat"
"306"	"Suárez"	"Watford"	19	4.5	"MID"	4.22222222222222	"Suárez"
"307"	"McManaman"	"West Brom"	19	4.5	"MID"	4.22222222222222	"McManaman"
"308"	"Romero"	"Man Utd"	21	5	"GK"	4.2	"Romero"
"309"	"Kenedy"	"Chelsea"	23	5.5	"MID"	4.18181818181818	"Kenedy"
"310"	"Ospina"	"Arsenal"	20	5	"GK"	4	"Ospina"
"311"	"Randolph"	"West Ham"	18	4.5	"GK"	4	"Randolph"
"312"	"Dyer"	"Swansea"	20	5	"MID"	4	"Dyer"
"313"	"Stewart"	"Liverpool"	17	4.5	"DEF"	3.77777777777778	"Stewart"
"314"	"Remy"	"Chelsea"	24	6.5	"ATK"	3.69230769230769	"Remy"
"315"	"Gray"	"Leicester"	18	5	"MID"	3.6	"Gray"
"316"	"Crouch"	"Stoke"	18	5	"ATK"	3.6	"Crouch"
"317"	"Ings"	"Liverpool"	21	6	"ATK"	3.5	"Ings"
"318"	"Besic"	"Everton"	15	4.5	"MID"	3.33333333333333	"Besic"
"319"	"Kingsley"	"Swansea"	13	4	"DEF"	3.25	"Kingsley"
"320"	"Ireland"	"Stoke"	14	4.5	"MID"	3.11111111111111	"Ireland"
"321"	"Campbell.1"	"Crystal Palace"	12	4.5	"ATK"	2.66666666666667	"Campbell.1"
"322"	"Oxford"	"West Ham"	11	4.5	"DEF"	2.44444444444444	"Oxford"
